[[0, 1, 4, 5, 7], [2, 4], [3, 5], [6, 7]]
[[5,7,17,15,35,97],[13, 37, 17, 39, 53, 54]]
[[6,14,6,30,16,74],[13, 40, 37, 42, 17, 54]]
[[5,11,11,15,35,89],[13, 40, 37, 17, 43, 53]]
[[6,10,12,26,26,76],[13, 40, 37, 17, 43, 54]]
[[4,8,10,8,34,68],[13, 40, 37, 17, 52, 53]]
[[5,7,14,7,40,88],[13, 37, 42, 17, 50, 53]]
[[5,13,8,25,25,82],[13, 37, 42, 17, 52, 54]]
[[4,8,16,20,19,92],[13, 37, 17, 43, 52, 44]]
[[5,13,5,17,30,109],[13, 37, 49, 17, 43, 54]]
[[6,12,9,12,41,99],[13, 37, 49, 17, 52, 54]]
[[5,11,14,15,25,104],[13, 37, 17, 50, 52, 51]]
[[5,9,8,21,55,66],[13, 17, 38, 39, 51, 53]]
[[4,6,16,14,24,102],[13, 17, 38, 39, 51, 54]]
[[6,14,9,22,21,83],[13, 40, 17, 38, 43, 54]]
[[6,10,9,14,41,85],[13, 40, 17, 38, 52, 44]]
[[4,12,13,24,9,105],[13, 40, 49, 17, 38, 53]]
[[6,10,12,22,31,58],[13, 40, 17, 38, 52, 53]]
[[3,11,9,27,38,89],[13, 49, 17, 38, 43, 54]]
[[5,9,17,25,30,57],[13, 17, 38, 43, 52, 54]]
[[3,7,15,15,13,97],[13, 49, 17, 38, 52, 44]]
[[5,7,20,11,40,94],[13, 17, 38, 50, 52, 54]]
[[5,9,11,17,35,69],[13, 17, 38, 51, 53, 54]]
[[5,9,14,13,25,96],[13, 40, 17, 39, 51, 53]]
[[4,12,7,20,14,99],[13, 42, 17, 39, 51, 54]]
[[5,7,14,7,40,88],[13, 17, 43, 39, 51, 53]]
[[5,9,8,13,25,108],[13, 17, 43, 39, 53, 54]]
[[4,8,16,24,34,68],[13, 17, 50, 39, 44, 53]]
[[5,7,14,15,50,82],[13, 17, 52, 39, 44, 53]]
[[8,8,14,16,38,68],[13, 49, 17, 39, 51, 53]]
[[6,6,9,30,51,63],[13, 17, 52, 39, 51, 53]]
[[3,15,6,31,43,54],[13, 40, 42, 17, 43, 53]]
[[4,8,10,20,34,56],[13, 40, 42, 17, 52, 44]]
[[5,11,11,35,30,59],[13, 40, 42, 49, 17, 54]]
[[5,15,11,23,15,81],[13, 40, 42, 17, 50, 53]]
[[5,5,14,25,35,92],[13, 40, 42, 17, 52, 54]]
[[5,5,17,21,40,71],[13, 40, 49, 17, 43, 54]]
[[5,9,11,21,35,81],[13, 40, 17, 43, 50, 53]]
[[3,9,3,37,38,81],[13, 40, 17, 43, 52, 51]]
[[3,5,18,9,18,68],[13, 40, 17, 44, 51, 54]]
[[4,12,16,20,29,72],[13, 40, 49, 17, 52, 51]]
[[3,9,3,33,18,33],[13, 40, 49, 17, 52, 53]]
[[3,9,24,29,18,72],[13, 40, 17, 50, 52, 51]]
[[4,12,7,36,34,57],[13, 40, 17, 50, 52, 53]]
[[5,7,8,31,30,76],[13, 40, 17, 51, 53, 54]]
[[2,10,8,26,17,100],[13, 42, 17, 43, 52, 44]]
[[6,12,9,16,36,99],[13, 42, 49, 17, 43, 53]]
[[5,13,11,21,30,85],[13, 42, 17, 43, 52, 51]]
[[6,10,15,26,21,67],[13, 42, 17, 43, 52, 53]]
[[6,8,15,24,46,53],[13, 42, 17, 44, 51, 53]]
[[6,10,12,26,31,70],[13, 42, 17, 44, 53, 54]]
[[4,10,10,26,54,82],[13, 42, 49, 17, 50, 53]]
[[4,8,22,24,24,86],[13, 42, 49, 17, 52, 54]]
[[6,10,18,10,36,82],[13, 42, 17, 50, 52, 53]]
[[5,7,17,19,35,85],[13, 42, 17, 51, 53, 54]]
[[4,8,10,20,29,56],[13, 17, 43, 44, 51, 53]]
[[6,6,15,26,26,81],[13, 17, 43, 44, 53, 54]]
[[4,8,16,8,9,110],[13, 49, 17, 43, 52, 51]]
[[5,9,17,21,35,57],[13, 17, 43, 50, 52, 51]]
[[3,9,9,41,28,69],[13, 17, 43, 50, 52, 54]]
[[3,7,9,19,18,97],[13, 17, 43, 51, 53, 54]]
[[4,12,13,28,29,57],[13, 49, 17, 44, 51, 54]]
[[4,12,7,24,19,87],[13, 17, 50, 44, 51, 53]]
[[3,7,3,31,13,43],[13, 17, 52, 44, 51, 53]]
[[4,4,13,28,19,61],[13, 17, 52, 44, 51, 54]]
[[4,10,7,26,39,79],[13, 49, 17, 50, 52, 51]]
[[2,8,11,20,17,95],[13, 17, 52, 51, 53, 54]]
[[5,11,11,15,30,89],[13, 34, 35, 18, 53, 54]]
[[7,11,10,19,32,80],[13, 34, 37, 18, 39, 53]]
[[4,10,10,22,29,94],[13, 34, 37, 18, 44, 53]]
[[7,9,10,29,32,60],[13, 34, 37, 18, 51, 53]]
[[5,11,14,31,10,74],[13, 34, 37, 18, 53, 54]]
[[6,10,9,30,26,79],[13, 34, 38, 18, 44, 53]]
[[5,11,8,19,25,104],[13, 34, 40, 18, 39, 53]]
[[4,10,10,30,29,70],[13, 34, 52, 18, 39, 44]]
[[6,10,9,22,41,73],[13, 34, 49, 18, 39, 53]]
[[4,8,10,8,44,68],[13, 34, 50, 18, 39, 54]]
[[5,7,8,11,35,58],[13, 34, 52, 18, 39, 51]]
[[8,8,20,12,18,74],[13, 34, 52, 18, 39, 53]]
[[7,7,10,23,42,64],[13, 34, 40, 18, 53, 54]]
[[5,9,11,29,45,81],[13, 34, 42, 18, 53, 54]]
[[7,9,13,17,42,75],[13, 34, 43, 18, 53, 54]]
[[5,7,8,11,20,64],[13, 34, 50, 18, 44, 54]]
[[7,7,16,27,32,58],[13, 34, 50, 18, 53, 54]]
[[6,10,6,14,46,76],[13, 35, 37, 18, 39, 53]]
[[5,11,11,27,25,71],[13, 35, 37, 18, 44, 53]]
[[4,16,7,28,29,55],[13, 35, 37, 18, 53, 54]]
[[8,8,14,16,43,56],[13, 35, 38, 18, 39, 53]]
