[[0, 1, 4, 5, 7], [2, 4], [3, 5], [6, 7]]
[[6,12,9,16,46,69],[34, 17, 43, 18, 39, 54]]
[[7,11,16,15,22,68],[34, 17, 50, 18, 39, 53]]
[[7,7,13,23,32,73],[34, 17, 52, 18, 39, 51]]
[[5,9,11,25,50,75],[34, 42, 17, 18, 44, 54]]
[[4,8,16,8,24,86],[34, 42, 17, 18, 51, 54]]
[[5,7,11,31,30,97],[34, 42, 17, 18, 53, 54]]
[[4,8,16,28,39,92],[34, 17, 43, 18, 51, 54]]
[[5,7,14,23,55,100],[34, 17, 43, 18, 53, 54]]
[[4,10,7,22,54,61],[34, 49, 17, 18, 44, 54]]
[[4,12,10,36,29,72],[34, 17, 50, 18, 44, 53]]
[[5,9,8,25,50,84],[34, 17, 52, 18, 44, 53]]
[[6,6,18,6,51,72],[34, 17, 52, 18, 44, 54]]
[[8,8,14,20,33,56],[34, 49, 17, 18, 51, 53]]
[[5,7,14,7,35,94],[34, 49, 17, 18, 51, 54]]
[[5,7,17,11,30,97],[34, 17, 50, 18, 53, 54]]
[[5,7,11,23,35,85],[34, 17, 52, 18, 51, 54]]
[[7,9,16,17,32,72],[35, 37, 17, 18, 44, 53]]
[[7,13,10,21,17,76],[35, 40, 17, 18, 39, 54]]
[[8,8,17,20,23,53],[35, 42, 17, 18, 39, 53]]
[[4,10,10,30,29,70],[35, 49, 17, 18, 39, 54]]
[[6,12,9,24,36,63],[35, 17, 50, 18, 39, 53]]
[[6,12,9,16,31,117],[35, 17, 52, 18, 39, 54]]
[[7,13,10,13,37,76],[35, 40, 17, 18, 44, 53]]
[[4,10,19,14,19,97],[35, 40, 17, 18, 44, 54]]
[[5,9,11,17,40,63],[35, 40, 17, 18, 51, 54]]
[[6,8,18,20,41,62],[35, 17, 43, 18, 44, 54]]
[[6,8,6,28,51,50],[35, 17, 43, 18, 51, 53]]
[[5,9,11,25,50,75],[35, 49, 17, 18, 44, 54]]
[[7,7,16,31,27,58],[35, 17, 52, 18, 44, 54]]
[[4,10,16,22,29,94],[35, 49, 17, 18, 51, 54]]
[[5,7,17,27,25,73],[35, 49, 17, 18, 53, 54]]
[[4,10,10,22,24,106],[35, 17, 50, 18, 53, 54]]
[[4,8,13,32,19,65],[35, 17, 52, 18, 51, 54]]
[[3,9,15,25,33,81],[35, 17, 52, 18, 53, 54]]
[[6,12,9,20,41,63],[37, 17, 38, 18, 39, 53]]
[[5,5,17,21,40,71],[37, 17, 38, 18, 39, 54]]
[[5,9,11,21,45,63],[37, 17, 38, 18, 44, 53]]
[[8,10,14,18,28,46],[37, 17, 38, 18, 51, 53]]
[[5,11,14,23,45,56],[40, 37, 17, 18, 39, 54]]
[[5,13,8,29,40,52],[37, 42, 17, 18, 39, 54]]
[[5,11,14,23,30,56],[37, 17, 43, 18, 39, 54]]
[[6,14,9,30,16,47],[37, 49, 17, 18, 39, 54]]
[[8,10,14,18,28,46],[37, 17, 50, 18, 39, 53]]
[[8,10,14,18,18,76],[37, 17, 52, 18, 39, 51]]
[[6,10,18,14,36,82],[37, 17, 52, 18, 39, 54]]
[[4,10,16,18,19,100],[40, 37, 17, 18, 44, 54]]
[[6,10,15,26,21,67],[40, 37, 17, 18, 53, 54]]
[[7,7,13,31,42,37],[37, 42, 17, 18, 44, 53]]
[[6,10,12,26,31,64],[37, 42, 17, 18, 44, 54]]
[[3,7,9,19,13,49],[37, 42, 17, 18, 51, 54]]
[[5,9,8,25,45,72],[37, 17, 43, 18, 44, 53]]
[[5,9,14,17,45,78],[37, 17, 43, 18, 51, 54]]
[[4,10,13,22,34,91],[37, 17, 43, 18, 53, 54]]
[[5,11,8,19,35,80],[37, 17, 50, 18, 44, 53]]
[[4,6,10,22,44,114],[37, 17, 52, 18, 44, 53]]
[[5,7,20,19,45,64],[37, 17, 52, 18, 44, 54]]
[[7,11,10,23,32,68],[37, 49, 17, 18, 51, 53]]
[[7,9,16,25,27,36],[37, 49, 17, 18, 53, 54]]
[[6,8,6,28,46,62],[37, 17, 50, 18, 51, 53]]
[[3,9,21,25,28,75],[37, 17, 52, 18, 53, 54]]
[[5,11,17,11,30,89],[17, 38, 43, 18, 39, 54]]
[[8,8,17,16,28,65],[17, 38, 50, 18, 39, 53]]
[[6,10,9,34,36,49],[17, 38, 52, 18, 39, 51]]
[[4,8,10,24,44,98],[40, 17, 38, 18, 51, 53]]
[[6,8,15,20,21,95],[40, 17, 38, 18, 53, 54]]
[[6,6,18,34,6,84],[42, 17, 38, 18, 44, 54]]
[[6,10,15,18,41,55],[42, 17, 38, 18, 51, 53]]
[[4,6,13,22,39,87],[42, 17, 38, 18, 53, 54]]
[[6,10,15,18,36,67],[17, 38, 43, 18, 44, 54]]
[[3,7,15,27,18,103],[17, 38, 43, 18, 51, 54]]
[[4,8,13,20,29,107],[49, 17, 38, 18, 44, 53]]
[[8,8,17,20,23,53],[17, 38, 50, 18, 51, 53]]
[[6,10,12,26,31,70],[17, 38, 50, 18, 53, 54]]
[[7,9,7,33,37,51],[17, 38, 52, 18, 51, 53]]
[[5,9,11,29,50,63],[40, 42, 17, 18, 39, 54]]
[[7,11,13,23,27,47],[40, 17, 43, 18, 39, 54]]
[[5,13,14,21,30,70],[40, 49, 17, 18, 39, 53]]
[[4,10,10,22,39,70],[40, 49, 17, 18, 39, 54]]
[[4,14,4,30,44,62],[40, 17, 50, 18, 39, 53]]
[[4,8,16,28,39,92],[40, 17, 52, 18, 39, 51]]
[[5,11,14,23,25,68],[40, 17, 52, 18, 39, 53]]
[[6,6,21,18,36,57],[40, 17, 52, 18, 39, 54]]
[[6,10,12,30,31,58],[42, 17, 43, 18, 39, 53]]
[[4,8,25,16,29,89],[42, 49, 17, 18, 39, 54]]
[[4,6,13,34,24,69],[42, 17, 52, 18, 39, 54]]
[[5,13,11,29,25,61],[49, 17, 43, 18, 39, 53]]
[[4,8,19,16,34,77],[49, 17, 43, 18, 39, 54]]
[[6,10,9,26,36,73],[17, 43, 50, 18, 39, 53]]
[[3,9,9,45,28,57],[17, 50, 52, 18, 39, 44]]
[[7,11,13,23,12,77],[49, 17, 52, 18, 39, 51]]
[[6,10,15,26,21,73],[49, 17, 52, 18, 39, 53]]
[[6,12,12,24,31,48],[17, 50, 52, 18, 39, 51]]
[[7,9,16,17,37,54],[17, 50, 52, 18, 39, 53]]
[[4,12,10,28,34,78],[40, 42, 17, 18, 44, 54]]
[[8,8,17,20,23,53],[40, 42, 17, 18, 53, 54]]
[[6,12,6,32,31,60],[40, 17, 43, 18, 51, 53]]
[[7,11,13,23,12,77],[40, 17, 43, 18, 51, 54]]
[[7,13,10,25,17,52],[40, 17, 50, 18, 44, 53]]
[[8,12,11,12,33,57],[40, 17, 52, 18, 44, 53]]
[[7,13,7,33,17,43],[40, 49, 17, 18, 51, 53]]
[[6,6,9,30,51,63],[40, 17, 50, 18, 53, 54]]
[[5,7,23,15,50,73],[40, 17, 52, 18, 51, 53]]
[[5,13,14,21,30,76],[42, 17, 43, 18, 44, 53]]
[[8,10,14,18,28,46],[42, 17, 43, 18, 51, 53]]
[[7,11,7,27,27,83],[42, 17, 50, 18, 44, 53]]
[[7,7,16,31,27,58],[42, 17, 52, 18, 44, 54]]
[[7,11,16,11,37,56],[42, 49, 17, 18, 53, 54]]
[[6,8,9,28,46,59],[42, 17, 50, 18, 51, 53]]
[[3,9,15,29,18,111],[42, 17, 52, 18, 53, 54]]
[[6,12,12,20,31,60],[49, 17, 43, 18, 51, 54]]
[[6,12,9,20,41,75],[17, 43, 50, 18, 53, 54]]
[[6,12,9,28,26,75],[49, 17, 50, 18, 44, 53]]
[[5,9,14,17,30,96],[49, 17, 52, 18, 44, 53]]
[[6,10,18,18,31,76],[17, 50, 52, 18, 44, 53]]
[[7,9,13,21,32,75],[49, 17, 50, 18, 53, 54]]
[[8,10,11,22,28,55],[49, 17, 52, 18, 51, 53]]
[[7,9,13,25,32,63],[49, 17, 52, 18, 51, 54]]
[[5,9,20,21,35,48],[17, 50, 52, 18, 53, 54]]
[[5,15,8,19,30,90],[34, 35, 37, 17, 38, 54]]
[[6,8,15,20,31,59],[34, 35, 40, 37, 17, 53]]
[[5,7,8,11,35,58],[34, 35, 40, 37, 17, 54]]
[[5,9,17,9,30,111],[34, 35, 37, 42, 17, 54]]
[[6,10,9,14,41,91],[34, 35, 37, 17, 43, 53]]
[[5,7,14,11,50,82],[34, 35, 37, 17, 43, 54]]
[[4,8,13,8,29,59],[34, 35, 37, 49, 17, 54]]
[[6,10,12,18,41,82],[34, 35, 37, 17, 52, 51]]
[[7,9,16,17,37,54],[34, 35, 40, 17, 38, 54]]
[[6,12,9,20,41,63],[34, 35, 42, 17, 38, 53]]
[[4,8,10,16,54,56],[34, 35, 49, 17, 38, 54]]
[[4,10,16,18,19,100],[34, 35, 17, 38, 52, 51]]
[[6,8,9,28,51,41],[34, 35, 17, 39, 51, 53]]
[[3,9,12,33,23,90],[34, 35, 17, 39, 51, 54]]
[[6,10,18,18,31,76],[34, 35, 17, 39, 53, 54]]
[[5,11,14,15,25,104],[34, 35, 40, 42, 17, 54]]
[[6,12,9,28,26,75],[34, 35, 40, 17, 43, 53]]
[[8,12,8,24,23,42],[34, 35, 40, 17, 52, 54]]
[[7,9,13,21,42,51],[34, 35, 49, 17, 43, 53]]
[[6,12,12,24,31,48],[34, 35, 17, 44, 51, 54]]
[[9,11,9,15,34,41],[34, 35, 17, 44, 53, 54]]
[[5,11,17,15,20,119],[34, 35, 49, 17, 52, 54]]
[[6,14,6,30,16,74],[34, 35, 17, 50, 52, 51]]
[[6,10,15,22,31,61],[34, 35, 17, 51, 53, 54]]
[[4,10,10,30,34,76],[34, 40, 37, 17, 38, 53]]
[[6,12,9,16,36,99],[34, 37, 42, 17, 38, 53]]
[[5,7,14,15,30,64],[34, 37, 42, 17, 38, 54]]
[[3,9,21,29,13,99],[34, 37, 17, 38, 43, 54]]
[[3,11,9,27,33,59],[34, 37, 17, 38, 52, 44]]
[[6,10,15,10,36,91],[34, 37, 17, 38, 52, 51]]
[[7,11,10,19,32,92],[34, 37, 17, 38, 52, 53]]
[[6,6,18,18,36,72],[34, 37, 17, 39, 53, 54]]
[[6,10,12,18,26,100],[34, 40, 37, 17, 43, 53]]
[[7,7,13,23,32,73],[34, 40, 37, 17, 52, 44]]
[[5,7,20,7,35,88],[34, 40, 37, 17, 52, 53]]
[[7,11,10,31,22,50],[34, 37, 42, 17, 43, 54]]
[[4,14,10,18,19,110],[34, 37, 42, 49, 17, 54]]
[[6,8,9,16,41,65],[34, 37, 42, 17, 50, 53]]
[[5,11,11,27,30,71],[34, 37, 17, 43, 52, 44]]
[[6,12,12,20,31,60],[34, 37, 49, 17, 52, 44]]
[[6,12,6,20,51,60],[34, 37, 17, 44, 51, 54]]
[[7,11,13,23,22,47],[34, 37, 49, 17, 52, 54]]
