[[0, 1, 4, 5, 7], [2, 4], [3, 5], [6, 7]]
[[4,10,13,14,34,91],[10, 13, 35, 18, 53, 54]]
[[4,8,10,24,44,98],[10, 13, 37, 18, 39, 53]]
[[3,9,15,17,48,87],[10, 13, 37, 18, 44, 53]]
[[4,8,13,24,29,89],[10, 13, 37, 18, 53, 54]]
[[5,13,8,25,30,88],[10, 13, 38, 18, 44, 53]]
[[4,12,4,12,29,84],[10, 13, 40, 18, 39, 53]]
[[3,11,12,15,28,74],[10, 13, 52, 18, 39, 44]]
[[5,13,14,21,30,76],[10, 13, 49, 18, 39, 53]]
[[4,10,16,18,14,124],[10, 13, 52, 18, 39, 51]]
[[2,8,17,28,17,95],[10, 13, 40, 18, 51, 53]]
[[4,8,7,28,19,59],[10, 13, 40, 18, 53, 54]]
[[4,10,13,30,19,91],[10, 13, 42, 18, 51, 53]]
[[2,6,11,30,27,111],[10, 13, 42, 18, 53, 54]]
[[4,10,10,30,24,88],[10, 13, 43, 18, 53, 54]]
[[2,10,11,26,22,91],[10, 13, 49, 18, 44, 53]]
[[3,11,12,23,48,92],[10, 13, 50, 18, 44, 53]]
[[2,8,5,28,12,47],[10, 13, 50, 18, 44, 54]]
[[4,6,13,22,29,39],[10, 13, 50, 18, 53, 54]]
[[5,7,8,23,60,52],[10, 13, 52, 18, 51, 53]]
[[4,8,16,12,24,110],[10, 13, 34, 35, 42, 53]]
[[1,11,7,31,36,71],[10, 13, 34, 35, 50, 54]]
[[2,8,8,20,7,92],[10, 13, 34, 40, 37, 53]]
[[4,10,7,18,24,103],[10, 13, 34, 37, 42, 53]]
[[6,8,12,28,31,68],[10, 13, 34, 37, 50, 53]]
[[4,8,25,16,29,89],[10, 13, 34, 37, 52, 51]]
[[5,7,14,23,30,70],[10, 13, 34, 37, 52, 53]]
[[4,8,13,16,24,77],[10, 13, 34, 40, 38, 53]]
[[5,7,14,27,40,82],[10, 13, 34, 49, 38, 53]]
[[4,10,10,22,29,94],[10, 13, 34, 38, 50, 53]]
[[3,7,15,19,38,61],[10, 13, 34, 38, 50, 54]]
[[4,8,10,16,54,56],[10, 13, 34, 38, 52, 51]]
[[5,9,11,13,25,105],[10, 13, 34, 38, 52, 53]]
[[3,11,6,19,8,80],[10, 13, 34, 39, 44, 53]]
[[4,8,13,16,24,83],[10, 13, 34, 39, 51, 53]]
[[3,13,9,29,28,67],[10, 13, 34, 40, 49, 53]]
[[4,12,10,44,24,36],[10, 13, 34, 40, 50, 53]]
[[2,14,11,26,37,71],[10, 13, 34, 40, 52, 51]]
[[5,11,14,23,35,74],[10, 13, 34, 40, 52, 53]]
[[5,11,11,27,40,53],[10, 13, 34, 42, 52, 53]]
[[4,12,10,36,29,60],[10, 13, 34, 43, 52, 51]]
[[2,12,11,36,27,63],[10, 13, 34, 49, 52, 44]]
[[3,13,6,21,48,88],[10, 13, 34, 44, 51, 53]]
[[4,14,13,22,14,95],[10, 13, 34, 49, 50, 54]]
[[5,13,8,29,40,52],[10, 13, 34, 49, 52, 51]]
[[6,10,9,30,21,85],[10, 13, 34, 49, 52, 53]]
[[6,12,12,20,31,60],[10, 13, 34, 50, 52, 51]]
[[4,6,16,6,34,90],[10, 13, 34, 51, 53, 54]]
[[2,10,5,34,27,49],[10, 13, 35, 37, 52, 44]]
[[2,14,11,26,37,71],[10, 13, 35, 37, 50, 54]]
[[3,9,12,33,23,66],[10, 13, 35, 37, 52, 51]]
[[5,13,8,29,45,58],[10, 13, 35, 38, 43, 53]]
[[3,7,9,11,13,43],[10, 13, 35, 39, 51, 53]]
[[3,7,12,23,33,88],[10, 13, 35, 39, 53, 54]]
[[3,15,9,27,33,75],[10, 13, 35, 40, 42, 53]]
[[4,8,13,16,29,107],[10, 13, 35, 40, 50, 54]]
[[5,11,8,27,45,68],[10, 13, 35, 42, 43, 53]]
[[2,12,8,28,32,72],[10, 13, 35, 42, 52, 44]]
[[6,12,9,16,46,75],[10, 13, 35, 42, 49, 53]]
[[5,11,11,23,45,77],[10, 13, 35, 42, 52, 51]]
[[6,14,6,26,21,80],[10, 13, 35, 42, 52, 53]]
[[4,12,13,20,19,99],[10, 13, 35, 43, 52, 44]]
[[5,15,8,31,15,54],[10, 13, 35, 43, 50, 53]]
[[6,14,6,22,36,74],[10, 13, 35, 43, 52, 53]]
[[4,12,13,28,39,51],[10, 13, 35, 50, 52, 44]]
[[4,10,7,18,24,103],[10, 13, 35, 44, 51, 53]]
[[3,9,12,17,18,66],[10, 13, 35, 50, 52, 54]]
[[3,7,12,27,18,94],[10, 13, 35, 51, 53, 54]]
[[3,7,9,11,33,91],[10, 13, 40, 37, 38, 53]]
[[5,9,20,13,40,84],[10, 13, 37, 38, 50, 53]]
[[4,6,7,14,44,87],[10, 13, 37, 38, 52, 53]]
[[2,8,17,28,17,95],[10, 13, 37, 39, 44, 53]]
[[3,5,15,17,23,119],[10, 13, 37, 39, 53, 54]]
[[5,13,8,29,40,64],[10, 13, 40, 37, 42, 53]]
[[5,9,17,17,45,63],[10, 13, 40, 37, 43, 53]]
[[4,10,16,18,14,124],[10, 13, 40, 37, 52, 44]]
[[5,13,5,33,15,67],[10, 13, 40, 37, 50, 53]]
[[3,11,12,15,28,74],[10, 13, 40, 37, 52, 51]]
[[4,10,13,22,34,91],[10, 13, 40, 37, 52, 53]]
[[4,12,19,20,24,75],[10, 13, 37, 42, 49, 53]]
[[6,12,9,28,26,75],[10, 13, 37, 42, 52, 53]]
[[4,12,13,20,19,99],[10, 13, 37, 43, 50, 54]]
[[5,13,5,17,30,109],[10, 13, 37, 43, 52, 51]]
[[3,13,9,29,28,73],[10, 13, 37, 49, 52, 44]]
[[4,12,4,12,29,84],[10, 13, 37, 44, 51, 53]]
[[6,12,6,20,51,60],[10, 13, 37, 49, 50, 53]]
[[4,16,10,28,19,64],[10, 13, 37, 49, 52, 51]]
[[5,9,14,17,25,90],[10, 13, 37, 50, 52, 51]]
[[6,10,9,14,46,79],[10, 13, 37, 50, 52, 53]]
[[5,7,11,19,45,79],[10, 13, 38, 39, 51, 53]]
[[4,12,13,24,34,57],[10, 13, 40, 49, 38, 53]]
[[3,17,6,29,48,44],[10, 13, 40, 38, 50, 53]]
[[3,9,12,25,33,102],[10, 13, 40, 38, 52, 51]]
[[4,14,7,30,29,71],[10, 13, 40, 38, 52, 53]]
[[5,13,14,21,30,76],[10, 13, 42, 38, 43, 53]]
[[5,13,8,17,45,82],[10, 13, 42, 38, 50, 53]]
[[4,12,7,36,29,63],[10, 13, 42, 38, 52, 53]]
[[3,7,18,31,48,52],[10, 13, 42, 38, 52, 54]]
[[2,12,11,36,27,63],[10, 13, 38, 43, 50, 54]]
[[3,13,12,25,33,82],[10, 13, 38, 43, 52, 51]]
[[2,12,14,24,32,90],[10, 13, 38, 50, 52, 44]]
[[5,13,5,17,30,109],[10, 13, 49, 38, 50, 54]]
[[6,12,12,24,36,48],[10, 13, 49, 38, 52, 51]]
[[5,9,23,13,35,69],[10, 13, 49, 38, 52, 53]]
[[6,12,6,36,31,48],[10, 13, 38, 50, 52, 53]]
[[5,7,14,19,30,70],[10, 13, 38, 51, 53, 54]]
[[3,9,15,17,48,87],[10, 13, 40, 39, 51, 53]]
[[3,7,9,23,13,67],[10, 13, 42, 39, 53, 54]]
[[5,7,14,23,15,76],[10, 13, 43, 39, 51, 53]]
[[5,11,14,31,20,62],[10, 13, 43, 39, 53, 54]]
[[6,12,6,24,26,102],[10, 13, 49, 39, 51, 53]]
[[5,11,11,23,45,53],[10, 13, 50, 39, 53, 54]]
[[6,10,12,26,36,58],[10, 13, 52, 39, 51, 53]]
[[2,8,11,16,17,83],[10, 13, 40, 42, 52, 44]]
[[4,14,10,38,19,32],[10, 13, 40, 42, 50, 54]]
[[3,9,15,21,28,75],[10, 13, 40, 42, 52, 51]]
[[3,11,12,23,43,86],[10, 13, 40, 43, 50, 53]]
[[3,7,9,47,28,61],[10, 13, 40, 43, 52, 51]]
[[5,11,14,27,20,62],[10, 13, 40, 43, 52, 54]]
[[3,11,6,23,28,80],[10, 13, 40, 49, 52, 44]]
[[4,8,10,24,44,98],[10, 13, 40, 44, 51, 53]]
[[2,10,8,22,42,64],[10, 13, 40, 49, 52, 51]]
[[3,11,9,31,28,89],[10, 13, 40, 49, 52, 53]]
[[3,7,15,15,18,61],[10, 13, 40, 50, 52, 51]]
[[3,7,9,19,23,127],[10, 13, 40, 51, 53, 54]]
[[2,10,11,22,27,91],[10, 13, 42, 43, 52, 44]]
[[4,8,13,24,24,101],[10, 13, 42, 43, 52, 53]]
[[4,8,10,12,19,74],[10, 13, 42, 44, 51, 53]]
[[4,8,19,12,29,101],[10, 13, 42, 44, 53, 54]]
[[1,11,7,31,36,71],[10, 13, 42, 49, 50, 54]]
[[3,9,12,17,18,66],[10, 13, 42, 50, 52, 54]]
[[3,11,9,23,48,89],[10, 13, 42, 51, 53, 54]]
[[6,12,15,20,16,87],[10, 13, 43, 44, 53, 54]]
[[4,6,22,6,29,90],[10, 13, 49, 43, 52, 51]]
[[3,11,12,31,33,98],[10, 13, 43, 50, 52, 51]]
[[3,11,9,31,18,77],[10, 13, 43, 51, 53, 54]]
[[3,13,9,29,28,67],[10, 13, 49, 44, 51, 53]]
[[3,7,9,23,43,85],[10, 13, 52, 44, 51, 53]]
[[4,8,16,28,39,92],[10, 13, 49, 50, 52, 51]]
[[4,12,13,36,19,57],[10, 13, 49, 50, 52, 54]]
[[2,8,8,36,42,80],[10, 13, 52, 51, 53, 54]]
[[4,10,13,30,24,79],[10, 34, 14, 16, 17, 53]]
[[1,9,10,29,41,78],[10, 34, 14, 16, 17, 54]]
[[2,6,14,26,22,114],[10, 14, 35, 16, 17, 54]]
[[5,9,14,13,35,90],[10, 14, 16, 37, 17, 53]]
[[2,12,8,28,32,72],[10, 14, 16, 37, 17, 54]]
[[3,15,6,31,43,54],[10, 14, 16, 17, 38, 53]]
[[2,8,11,20,37,71],[10, 14, 16, 17, 38, 54]]
[[4,14,13,14,44,65],[10, 14, 16, 42, 17, 54]]
[[4,6,22,6,29,90],[10, 14, 16, 17, 43, 54]]
[[5,13,5,33,25,67],[10, 14, 16, 17, 50, 53]]
[[3,11,9,19,13,77],[10, 14, 16, 17, 52, 54]]
[[6,12,6,32,31,60],[10, 34, 14, 35, 16, 53]]
[[4,10,10,26,54,82],[10, 34, 14, 40, 16, 53]]
[[3,7,12,23,18,112],[10, 34, 14, 16, 52, 44]]
[[5,7,11,7,25,73],[10, 34, 14, 16, 49, 53]]
[[6,8,15,24,46,53],[10, 34, 14, 16, 50, 53]]
[[5,7,17,23,25,61],[10, 34, 14, 16, 52, 53]]
[[2,8,11,16,17,83],[10, 14, 35, 16, 52, 44]]
[[5,9,14,17,40,84],[10, 14, 35, 16, 52, 51]]
[[5,9,8,21,50,54],[10, 14, 16, 37, 42, 53]]
[[7,7,13,31,42,37],[10, 14, 16, 37, 43, 53]]
[[2,14,11,34,27,53],[10, 14, 16, 37, 50, 54]]
[[5,11,17,15,25,95],[10, 14, 16, 38, 43, 53]]
[[4,8,13,16,24,53],[10, 14, 16, 38, 50, 54]]
[[4,12,10,24,19,102],[10, 14, 16, 39, 44, 53]]
[[4,12,13,28,29,63],[10, 14, 40, 16, 52, 44]]
[[6,10,6,26,26,94],[10, 14, 40, 16, 49, 53]]
[[5,5,20,13,40,62],[10, 14, 16, 43, 52, 54]]
[[5,11,14,23,20,80],[10, 14, 16, 49, 52, 44]]
[[6,8,9,16,26,77],[10, 14, 16, 49, 50, 53]]
[[7,11,13,15,37,65],[10, 14, 16, 49, 52, 53]]
[[6,12,15,16,26,81],[10, 14, 16, 50, 52, 53]]
[[3,9,15,21,28,75],[10, 14, 17, 18, 39, 54]]
[[3,9,15,33,18,87],[10, 14, 17, 18, 51, 54]]
[[8,10,8,34,13,58],[10, 34, 14, 35, 17, 53]]
[[4,10,10,34,34,82],[10, 34, 14, 17, 50, 53]]
